latlong,postal_code,postal_sector,postal_district,general_location
"1.3748929,103.8913351",530525,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3096192,103.8952609",439198,43,15,"Katong, Joo Chiat, Amber Road"
"1.357598,103.845974",570229,57,20,"Bishan, Ang Mo Kio"
"1.300497,103.827771",249342,24,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.3648405,103.8288568",576779,57,20,"Bishan, Ang Mo Kio"
"1.3559769,103.869265",550230,55,19,"Serangoon Garden, Hougang, Punggol"
"1.3209439,103.883992",380100,38,14,"Geylang, Eunos"
"1.428505,103.772821",730411,73,25,"Kranji, Woodgrove"
"1.42513,103.847569",760418,76,27,"Yishun, Sembawang"
"1.315398,103.889459",387903,38,14,"Geylang, Eunos"
"1.4373435,103.7901826",730892,73,25,"Kranji, Woodgrove"
"1.3565959,103.8632575",557384,55,19,"Serangoon Garden, Hougang, Punggol"
"1.412826,103.899498",821326,82,19,"Serangoon Garden, Hougang, Punggol"
"1.309864,103.897123",438797,43,15,"Katong, Joo Chiat, Amber Road"
"1.3583631,103.9549617",520460,52,18,"Tampines, Pasir Ris"
"1.3737839,103.854658",560532,56,20,"Bishan, Ang Mo Kio"
"1.316242,103.838592",309065,30,11,"Watten Estate, Novena, Thomson"
"1.434382,103.796861",730613,73,25,"Kranji, Woodgrove"
"1.3718129,103.8737767",550518,55,19,"Serangoon Garden, Hougang, Punggol"
"1.336004,103.697287",643654,64,22,Jurong
"1.381246,103.902502",544813,54,19,"Serangoon Garden, Hougang, Punggol"
"1.324206,103.911068",410111,41,14,"Geylang, Eunos"
"1.398275,103.749692",680641,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.3672859,103.886468",533753,53,19,"Serangoon Garden, Hougang, Punggol"
"1.276961,103.809998",100084,10,4,"Telok Blangah, Harbourfront"
"1.330011,103.951234",486889,48,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.376587,103.742999",684296,68,23,"Hillview, Dairy Farm, Bukit Panjang, Choa Chu Kang"
"1.35564,103.858829",569979,56,20,"Bishan, Ang Mo Kio"
"1.3080585,103.8573934",207738,20,8,Little India
"1.298772,103.831779",239223,23,9,"Orchard, Cairnhill, River Valley"
"1.381601,103.862859",807583,80,28,Seletar
"1.3566426,103.9371659",520704,52,18,"Tampines, Pasir Ris"
"1.38953,103.856942",806692,80,28,Seletar
"1.370453,103.954417",510422,51,18,"Tampines, Pasir Ris"
"1.4323189,103.83174",760134,76,27,"Yishun, Sembawang"
"1.3363419,103.8483275",310085,31,12,"Balestier, Toa Payoh, Serangoon"
"1.351844,103.952612",520209,52,18,"Tampines, Pasir Ris"
"1.369046,103.95219",510544,51,18,"Tampines, Pasir Ris"
"1.332463,103.94226",486061,48,16,"Bedok, Upper East Coast, East Wood, Kew Drive"
"1.3082852,103.7966595",271003,27,10,"Ardmore, Bukit Timah, Holland Road, Tanglin"
"1.325113,103.862429",321022,32,12,"Balestier, Toa Payoh, Serangoon"
"1.4454,103.772075",730036,73,25,"Kranji, Woodgrove"
"1.3158485,103.8889075",387951,38,14,"Geylang, Eunos"
"1.312086,103.89719",430004,43,15,"Katong, Joo Chiat, Amber Road"
"1.353762,103.879571",535577,53,19,"Serangoon Garden, Hougang, Punggol"
"1.3425707,103.7362931",600228,60,22,Jurong
"1.324456,103.911385",417435,41,14,"Geylang, Eunos"
"1.28852,103.814188",150058,15,3,"Queenstown, Tiong Bahru"
"1.379349,103.937574",510736,51,18,"Tampines, Pasir Ris"
